Unnamed: 0,state,county,name,year,model,capacity[MW],hub_height[m],rotor_diameter[m],longitude_gen,latitude_gen,latitude_county,longitude_county,geohash,elevation[m],gentype,cut_in_wind_speed[m/s],rated_wind_speed[m/s],cut_out_wind_speed[m/s],max_rotor_speed[rd/min],drivetrain_design,min_measured_date,max_measured_date
94,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.35849,35.046696,35.369809,-118.941786,9q5sgb,1304.277466,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
95,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.380989,35.050797,35.369809,-118.941786,9q5sgb,1398.891846,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
96,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.359085,35.021496,35.369809,-118.941786,9q5sgb,1310.046631,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
97,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.363686,35.043694,35.369809,-118.941786,9q5sgb,1343.599609,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
98,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.38121,35.03186,35.369809,-118.941786,9q5sgb,1554.937866,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
99,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.365189,35.038197,35.369809,-118.941786,9q5sgb,1352.351196,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
100,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.378685,35.046494,35.369809,-118.941786,9q5sgb,1369.153687,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
101,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.347389,35.026096,35.369809,-118.941786,9q5sgb,1262.467896,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
102,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.376884,35.026096,35.369809,-118.941786,9q5sgb,1563.326782,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
103,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.373291,35.026695,35.369809,-118.941786,9q5sgb,1501.18457,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
104,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.362022,35.035137,35.369809,-118.941786,9q5sgb,1322.18103,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
105,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.380585,35.044594,35.369809,-118.941786,9q5sgb,1387.586914,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
