,   I,ID,      PG,        QG,        QT,        QB,     VS,    IREG,     MBASE,     ZR,         ZX,         RT,         XT,     GTAP,STAT, RMPCT,      PT,        PB,    O1,    F1,  O2,    F2,  O3,    F3,  O4,    F4,WMOD, WPF,NREG,Bus  Number,Bus  Name,Lat,Long,geohash
80,4031,H,313.199,-168.528,489.0,-489,1.08,4001,952.0,0.0,0.2,0.0,0.0,1,1,100,952.0,0,1,1,,,,,,,,,,4031,MALIN,42.004704,-121.318052,9r3wzq
81,4031,S,140.4,-168.528,250.0,-250,1.08,4001,427.0,0.0,0.2,0.0,0.0,1,1,100,427.0,0,1,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,4031,MALIN,42.004704,-121.318052,9r3wzq
82,4031,W,208.8,-168.528,240.0,-240,1.08,4001,635.0,0.0,0.2,0.0,0.0,1,1,100,635.0,0,1,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,4031,MALIN,42.004704,-121.318052,9r3wzq
83,4035,C,173.7,-122.614,255.0,-255,1.08,4005,642.0,0.0,0.2,0.0,0.0,1,1,100,642.0,0,1,1,,,,,,,,,,4035,JOHN DAY,45.677819,-120.733553,c245ue
84,4035,G,448.2,-122.614,307.0,-307,1.08,4005,1656.0,0.0,0.2,0.0,0.0,1,1,100,1656.0,0,1,1,,,,,,,,,,4035,JOHN DAY,45.677819,-120.733553,c245ue
85,4035,H,966.6,-122.614,1836.0,-1836,1.08,4005,3572.0,0.0,0.2,0.0,0.0,1,1,100,3572.0,0,1,1,,,,,,,,,,4035,JOHN DAY,45.677819,-120.733553,c245ue
86,4035,W,697.5,-122.614,800.0,-800,1.08,4005,2578.0,0.0,0.2,0.0,0.0,1,1,100,2578.0,0,1,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,4035,JOHN DAY,45.677819,-120.733553,c245ue
87,4039,G,77.4,102.0,102.0,-102,1.08,4009,150.0,0.0,0.2,0.0,0.0,1,1,100,150.0,0,1,1,,,,,,,,,,4039,DALLES21,45.60664,-121.115583,c21g7y
88,4039,H,1455.3,380.224,1459.0,-1459,1.08,4009,2839.0,0.0,0.2,0.0,0.0,1,1,100,2839.0,0,1,1,,,,,,,,,,4039,DALLES21,45.60664,-121.115583,c21g7y
89,4039,W,712.8,380.224,500.0,-500,1.08,4009,1290.0,0.0,0.2,0.0,0.0,1,1,100,1290.0,0,1,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,4039,DALLES21,45.60664,-121.115583,c21g7y
90,4131,B,450.0,150.0,150.0,-150,1.128,4101,711.0,0.0,0.2,0.0,0.0,1,1,100,711.0,0,1,1,,,,,,,,,,4131,COULEE,47.947893,-118.996055,c2e2u0
91,4131,H,7418.7,543.401,6482.0,-6482,1.128,4101,12613.0,0.0,0.2,0.0,0.0,1,1,100,12613.0,0,1,1,,,,,,,,,,4131,COULEE,47.947893,-118.996055,c2e2u0
92,4131,W,555.3,120.0,120.0,-120,1.128,4101,790.0,0.0,0.2,0.0,0.0,1,1,100,790.0,0,1,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,4131,COULEE,47.947893,-118.996055,c2e2u0
93,4132,G,1854.899,52.261,1473.0,-1473,1.096,4102,2170.0,0.0,0.2,0.0,0.0,1,1,100,2170.0,0,1,1,,,,,,,,,,4132,HANFORD,46.669392,-119.573343,c26crp
