name,unit,capacity[MW],type,start[y],retirement[y],latitude,longitude,county,state
Orange Grove peaking facility,CTG2,59,GT,2010,,33.3594,-117.1114,San Diego,California
Ormond Beach power station,1,806,ST,1971,,34.1292,-119.1689,Ventura,California
Ormond Beach power station,2,806,ST,1973,,34.1292,-119.1689,Ventura,California
Otay Mesa Generating Project,CC1,689,CC,2009,,32.581481,-116.915,San Diego,California
Oxnard power station,GEN2,50,GT,1989,,34.196,-119.1667,Ventura,California
Palomar Energy power station,CC1,559,CC,2006,,33.1197,-117.1178,San Diego,California
Panoche energy center,1,108,GT,2009,,36.6514,-120.5833,Fresno,California
Panoche energy center,2,108,GT,2009,,36.6514,-120.5833,Fresno,California
Panoche energy center,3,108,GT,2009,,36.6514,-120.5833,Fresno,California
Panoche energy center,4,108,GT,2009,,36.6514,-120.5833,Fresno,California
Panoche Peaker power station,8,57,GT,1973,,36.6535,-120.5783,Fresno,California
Pastoria energy facility,PB01,521,CC,2005,,34.9556,-118.844,Kern,California
Pastoria energy facility,PB02,258,CC,2005,,34.9556,-118.844,Kern,California
Pio Pico energy center,CTG1,132,GT,2016,,32.573889,-116.9178,San Diego,California
Pio Pico energy center,CTG2,132,GT,2016,,32.573889,-116.9178,San Diego,California
Pio Pico energy center,CTG3,132,GT,2016,,32.573889,-116.9178,San Diego,California
Plains End II power station,IC,117.6,IC,2008,,39.8586,-105.2256,Jefferson,Colorado
Plains End power station,IC,114,IC,2002,,39.857499,-105.225967,Jefferson,Colorado
Port Westward power station,CCG1,483,CC,2007,,46.17894,-123.172,Columbia,Oregon
Port Westward Unit 2 power station,1,225.6,IC,2014,,46.178889,-123.171944,Columbia,Oregon
Pueblo Airport generating station,GT1,100,GT,2012,,38.320833,-104.5264,Pueblo,Colorado
Pueblo Airport generating station,GT2,100,GT,2012,,38.320833,-104.5264,Pueblo,Colorado
Pueblo Airport generating station,PB4,100,CC,2012,,38.320833,-104.5264,Pueblo,Colorado
Pueblo Airport generating station,PB5,100,CC,2012,,38.320833,-104.5264,Pueblo,Colorado
Rathdrum power station,1,83,GT,1994,,47.7858,-116.9203,Kootenai,Idaho
